2,Argentina,ARG,1534.2,1538,0,937.59,937.59,595.26,297.63,717.86,215.36,418.1,83.62,CONMEBOL,2/12/15
2,Argentina,ARG,1577.19,1534,0,992.63,992.63,559.57,279.79,732.94,219.88,424.48,84.9,CONMEBOL,3/12/15
2,Argentina,ARG,1490.04,1577,0,919.87,919.87,512.98,256.49,742.1,222.63,455.26,91.05,CONMEBOL,4/9/15
2,Argentina,ARG,1493.7,1490,0,919.87,919.87,512.98,256.49,742.1,222.63,473.57,94.71,CONMEBOL,5/7/15
3,Argentina,ARG,1496.26,1494,-1,919.87,919.87,512.98,256.49,702.07,210.62,546.39,109.28,CONMEBOL,6/4/15
1,Argentina,ARG,1472.55,1496,2,617.24,617.24,1070.17,535.08,650.94,195.28,624.71,124.94,CONMEBOL,7/9/15
1,Argentina,ARG,1424.86,1473,0,599.7,599.7,1028.9,514.45,650.94,195.28,577.13,115.43,CONMEBOL,8/6/15
1,Argentina,ARG,1441.79,1425,0,599.7,599.7,1058.69,529.35,650.08,195.03,588.59,117.72,CONMEBOL,9/3/15
1,Argentina,ARG,1419.28,1442,0,557.25,557.25,1022.99,511.5,714.89,214.47,680.32,136.06,CONMEBOL,10/1/15
3,Argentina,ARG,1382.86,1419,-2,571.17,571.17,949.24,474.62,583.64,175.09,809.86,161.97,CONMEBOL,11/5/15
2,Argentina,ARG,1455.47,1383,1,662.66,662.66,937.59,468.79,590.9,177.27,733.76,146.75,CONMEBOL,12/3/15
2,Argentina,ARG,1455.47,1455,0,662.66,662.66,937.59,468.79,590.9,177.27,733.76,146.75,CONMEBOL,1/7/16
2,Argentina,ARG,1455.47,1455,0,662.66,662.66,937.59,468.79,590.9,177.27,733.76,146.75,CONMEBOL,2/4/16
2,Argentina,ARG,1456.62,1455,0,662.66,662.66,937.59,468.79,595.26,178.58,732.94,146.59,CONMEBOL,3/3/16
1,Argentina,ARG,1531.67,1457,1,769.42,769.42,919.87,459.93,512.98,153.9,742.1,148.42,CONMEBOL,4/7/16
1,Argentina,ARG,1531.67,1532,0,769.42,769.42,919.87,459.93,512.98,153.9,742.1,148.42,CONMEBOL,5/5/16
1,Argentina,ARG,1503.35,1532,0,741.1,741.1,919.87,459.93,512.98,153.9,742.1,148.42,CONMEBOL,6/2/16
1,Argentina,ARG,1584.61,1503,0,845.9,845.9,599.7,299.85,1028.9,308.67,650.94,130.19,CONMEBOL,7/14/16
1,Argentina,ARG,1584.61,1585,0,845.9,845.9,599.7,299.85,1028.9,308.67,650.94,130.19,CONMEBOL,8/11/16
1,Argentina,ARG,1645.74,1585,0,928.24,928.24,557.25,278.63,1022.99,306.9,659.9,131.98,CONMEBOL,9/15/16
